name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
Kepler-40b;http://kepler.nasa.gov/Mission/discoveries/kepler40b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00428.01&type=KEPLER_CANDIDATE;2.2;699.2;1.17;13.11;1.68;1620;6.8592;6.87349;0.08;;89.7;2700
Kepler-41b;http://kepler.nasa.gov/Mission/discoveries/kepler41b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00196.01&type=KEPLER_CANDIDATE;0.55;174.8;0.89;9.98;1.1;1730;2.376;1.855558;0.03;;88.3;770
Kepler-42b;http://kepler.nasa.gov/Mission/discoveries/kepler42b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00961.01&type=KEPLER_CANDIDATE;;;0.07;0.78;;519;0.5423;1.2137672;0.0116;;86.52;39
Kepler-42c;http://kepler.nasa.gov/Mission/discoveries/kepler42c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00961.02&type=KEPLER_CANDIDATE;;;0.065;0.73;;720;0.4358;0.45328509;0.006;;83.65;39
Kepler-42d;http://kepler.nasa.gov/Mission/discoveries/kepler42d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00961.03&type=KEPLER_CANDIDATE;;;0.051;0.57;;450;0.5133;1.865169;0.0154;;87.09;39
Kepler-43b;http://kepler.nasa.gov/Mission/discoveries/kepler43b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00135.01&type=KEPLER_CANDIDATE;3.23;1026.55;1.2;13.45;2.33;1637;2.9256;3.024095;0.0449;;84.35;1950
Kepler-44b;http://kepler.nasa.gov/Mission/discoveries/kepler44b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00204.01&type=KEPLER_CANDIDATE;1.02;324.17;1.24;13.9;0.65;1603;3.2184;3.24674;0.0455;;83.78;2250
Kepler-45b;http://kepler.nasa.gov/Mission/discoveries/kepler45b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00254.01&type=KEPLER_CANDIDATE;0.505;160.5;0.96;10.76;0.8;1000;1.7234;2.455239;0.03;0.11;87;333
Kepler-46b;http://kepler.nasa.gov/Mission/discoveries/kepler46b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00872.01&type=KEPLER_CANDIDATE;6;1907;0.808;9.057;;543;4.3739;33.60134;0.1968;0.01;89.038;855
Kepler-46c;http://kepler.nasa.gov/Mission/discoveries/kepler46c;;0.376;119.5;;;;455;;57.011;0.2799;0.015;87.4;855
