name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
Kepler-99b;http://kepler.nasa.gov/Mission/discoveries/kepler99b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00305.01&type=KEPLER_CANDIDATE;0.019;6.15;0.132;1.48;10.9;807;2.4019;4.60358;0.05;;87.09;
Kepler-100b;http://kepler.nasa.gov/Mission/discoveries/kepler100b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00041.02&type=KEPLER_CANDIDATE;0.023;7.34;0.118;1.32;14.25;1071;4.4764;6.88705;0.073;;81.93;
Kepler-100c;http://kepler.nasa.gov/Mission/discoveries/kepler100c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00041.01&type=KEPLER_CANDIDATE;0.003;0.85;0.196;2.2;0.35;869;6.5383;12.8159;0.111;;84.8;
Kepler-100d;http://kepler.nasa.gov/Mission/discoveries/kepler100d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00041.03&type=KEPLER_CANDIDATE;0.009;3;0.144;1.61;;620;6.1426;35.3331;0.218;;87.09;
Kepler-101b;http://kepler.nasa.gov/Mission/discoveries/kepler101b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00046.01&type=KEPLER_CANDIDATE;;;0.524;5.87;;1233;3.8328;3.487691;0.048;;80.79;
Kepler-101c;http://kepler.nasa.gov/Mission/discoveries/kepler101c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00046.02&type=KEPLER_CANDIDATE;;;0.119;1.33;;1032;4.0296;6.029809;0.068;;83.08;
Kepler-102b;http://kepler.nasa.gov/Mission/discoveries/kepler102b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00082.05&type=KEPLER_CANDIDATE;0.001;0.41;0.042;0.47;23.29;792;2.4394;5.28696;0.055;;85.37;
Kepler-102c;http://kepler.nasa.gov/Mission/discoveries/kepler102c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00082.04&type=KEPLER_CANDIDATE;0.009;3;0.052;0.58;;718;3.2631;7.07142;0.067;;87.09;
Kepler-102d;http://kepler.nasa.gov/Mission/discoveries/kepler102d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00082.02&type=KEPLER_CANDIDATE;0.012;3.8;0.105;1.18;13.27;634;3.2071;10.3117;0.086;;87.09;
Kepler-102e;http://kepler.nasa.gov/Mission/discoveries/kepler102e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00082.01&type=KEPLER_CANDIDATE;0.028;8.93;0.198;2.22;4.68;545;3.7544;16.1457;0.116;;87.66;
Kepler-102f;http://kepler.nasa.gov/Mission/discoveries/kepler102f;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00082.03&type=KEPLER_CANDIDATE;0.002;0.62;0.079;0.88;4.92;457;3.8289;27.4536;0.165;;88.24;
Kepler-103b;http://kepler.nasa.gov/Mission/discoveries/kepler103b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00108.01&type=KEPLER_CANDIDATE;0.031;9.7;0.301;3.37;1.38;805;4.6518;15.9654;0.13;;87.09;
Kepler-103c;http://kepler.nasa.gov/Mission/discoveries/kepler103c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00108.02&type=KEPLER_CANDIDATE;0.114;36.1;0.459;5.14;1.47;359;13.436;179.612;0.654;;89.38;
Kepler-104b;http://kepler.nasa.gov/Mission/discoveries/kepler104b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00111.01&type=KEPLER_CANDIDATE;;;0.277;3.1;;801;4.5648;11.427548;0.094;;88.24;
Kepler-104c;http://kepler.nasa.gov/Mission/discoveries/kepler104c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00111.02&type=KEPLER_CANDIDATE;;;0.279;3.13;;627;5.8728;23.668205;0.153;;88.81;
Kepler-104d;http://kepler.nasa.gov/Mission/discoveries/kepler104d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00111.03&type=KEPLER_CANDIDATE;;;0.319;3.58;;483;7.464;51.755394;0.257;;89.38;
Kepler-105b;http://kepler.nasa.gov/Mission/discoveries/kepler105b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00115.01&type=KEPLER_CANDIDATE;;;0.429;4.81;;1418;3.3;5.4122;0.066;0.47;85.94;
Kepler-105c;http://kepler.nasa.gov/Mission/discoveries/kepler105c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00115.02&type=KEPLER_CANDIDATE;;;0.144;1.61;;1182;2.8032;7.125939;0.072;;88.24;
Kepler-106b;http://kepler.nasa.gov/Mission/discoveries/kepler106b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00116.03&type=KEPLER_CANDIDATE;0.0005;0.15;0.073;0.82;1.26;1025;2.7464;6.16486;0.066;;87.66;
Kepler-106c;http://kepler.nasa.gov/Mission/discoveries/kepler106c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00116.01&type=KEPLER_CANDIDATE;0.033;10.44;0.223;2.5;3.28;791;3.2468;13.5708;0.111;;88.24;
Kepler-106d;http://kepler.nasa.gov/Mission/discoveries/kepler106d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00116.04&type=KEPLER_CANDIDATE;0.025;8.1;0.085;0.95;;653;4.6787;23.9802;0.163;;89.38;
Kepler-106e;http://kepler.nasa.gov/Mission/discoveries/kepler106e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00116.02&type=KEPLER_CANDIDATE;0.035;11.17;0.228;2.56;3.1;533;6.3286;43.8445;0.244;;89.95;
Kepler-107b;http://kepler.nasa.gov/Mission/discoveries/kepler107b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00117.03&type=KEPLER_CANDIDATE;;;0.139;1.56;;1345;3.492;3.179997;0.044;;69.9;
Kepler-107c;http://kepler.nasa.gov/Mission/discoveries/kepler107c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00117.02&type=KEPLER_CANDIDATE;;;0.161;1.81;;1165;4.2;4.901425;0.059;;75.63;
Kepler-107d;http://kepler.nasa.gov/Mission/discoveries/kepler107d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00117.04&type=KEPLER_CANDIDATE;;;0.095;1.07;;991;4.2768;7.958203;0.082;;79.07;
Kepler-107e;http://kepler.nasa.gov/Mission/discoveries/kepler107e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00117.01&type=KEPLER_CANDIDATE;;;0.308;3.45;;807;6.588;14.749049;0.123;;83.08;
Kepler-108b;http://kepler.nasa.gov/Mission/discoveries/kepler108b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00119.01&type=KEPLER_CANDIDATE;;;0.772;8.65;;480;11.2776;49.183921;0.292;;88.81;
Kepler-108c;http://kepler.nasa.gov/Mission/discoveries/kepler108c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00119.02&type=KEPLER_CANDIDATE;;;0.73;8.18;;306;15.7008;190.323494;0.721;;89.38;
Kepler-109b;http://kepler.nasa.gov/Mission/discoveries/kepler109b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00123.01&type=KEPLER_CANDIDATE;0.004;1.3;0.211;2.37;0.3;1181;3.6334;6.48163;0.069;;87.09;
Kepler-109c;http://kepler.nasa.gov/Mission/discoveries/kepler109c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00123.02&type=KEPLER_CANDIDATE;0.007;2.22;0.225;2.52;0.65;793;6.4708;21.2227;0.153;;89.95;
Kepler-110b;http://kepler.nasa.gov/Mission/discoveries/kepler110b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00124.01&type=KEPLER_CANDIDATE;;;0.163;1.83;;990;3.756;12.691112;0.107;;85.37;
Kepler-110c;http://kepler.nasa.gov/Mission/discoveries/kepler110c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00124.02&type=KEPLER_CANDIDATE;;;0.197;2.21;;731;4.824;31.719775;0.198;;87.66;
Kepler-111b;http://kepler.nasa.gov/Mission/discoveries/kepler111b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00139.02&type=KEPLER_CANDIDATE;;;0.141;1.58;;1319;2.7696;3.341815;0.046;;85.37;
Kepler-111c;http://kepler.nasa.gov/Mission/discoveries/kepler111c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00139.01&type=KEPLER_CANDIDATE;;;0.651;7.3;;324;11.1936;224.784608;0.761;;89.38;
Kepler-112b;http://kepler.nasa.gov/Mission/discoveries/kepler112b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00150.01&type=KEPLER_CANDIDATE;;;0.211;2.36;;980;3.4848;8.408878;0.076;;86.52;
Kepler-112c;http://kepler.nasa.gov/Mission/discoveries/kepler112c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00150.02&type=KEPLER_CANDIDATE;;;0.214;2.4;;649;4.9632;28.574263;0.172;;88.24;
Kepler-113b;http://kepler.nasa.gov/Mission/discoveries/kepler113b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00153.02&type=KEPLER_CANDIDATE;0.037;11.7;0.162;1.82;10.73;773;2.5968;4.754;0.05;;85.94;
Kepler-113c;http://kepler.nasa.gov/Mission/discoveries/kepler113c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00153.01&type=KEPLER_CANDIDATE;0.027;8.7;0.194;2.18;;627;2.7667;8.92507;0.076;;87.09;
Kepler-114b;http://kepler.nasa.gov/Mission/discoveries/kepler114b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00156.02&type=KEPLER_CANDIDATE;;;0.112;1.26;;722;2.436;5.188549;0.053;;87.66;
Kepler-114c;http://kepler.nasa.gov/Mission/discoveries/kepler114c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00156.01&type=KEPLER_CANDIDATE;0.009;2.8;0.143;1.6;;623;2.6487;8.041;0.07;;88.24;
Kepler-114d;http://kepler.nasa.gov/Mission/discoveries/kepler114d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00156.03&type=KEPLER_CANDIDATE;0.012;3.9;0.226;2.53;;549;2.9261;11.776;0.09;;88.24;
Kepler-115b;http://kepler.nasa.gov/Mission/discoveries/kepler115b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00159.02&type=KEPLER_CANDIDATE;;;0.097;1.09;;1540;1.3056;2.403679;0.036;;79.07;
Kepler-115c;http://kepler.nasa.gov/Mission/discoveries/kepler115c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00159.01&type=KEPLER_CANDIDATE;;;0.232;2.6;;997;4.0824;8.990889;0.087;;86.52;
Kepler-116b;http://kepler.nasa.gov/Mission/discoveries/kepler116b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00171.01&type=KEPLER_CANDIDATE;;;0.305;3.42;;1170;3.6384;5.968734;0.069;;85.94;
Kepler-116c;http://kepler.nasa.gov/Mission/discoveries/kepler116c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00171.02&type=KEPLER_CANDIDATE;;;0.205;2.3;;902;3.024;13.07163;0.116;;87.09;
Kepler-117b;http://kepler.nasa.gov/Mission/discoveries/kepler117b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00209.02&type=KEPLER_CANDIDATE;;;0.697;7.81;;792;7.5216;18.795952;0.148;;88.24;
Kepler-117c;http://kepler.nasa.gov/Mission/discoveries/kepler117c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00209.01&type=KEPLER_CANDIDATE;;;1.008;11.3;;568;10.8984;50.790412;0.287;;89.38;
Kepler-118b;http://kepler.nasa.gov/Mission/discoveries/kepler118b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00216.02&type=KEPLER_CANDIDATE;;;0.175;1.96;;775;2.856;7.518496;0.073;;89.95;
Kepler-118c;http://kepler.nasa.gov/Mission/discoveries/kepler118c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00216.01&type=KEPLER_CANDIDATE;;;0.685;7.68;;558;3.108;20.17202;0.141;;88.81;
Kepler-119b;http://kepler.nasa.gov/Mission/discoveries/kepler119b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00220.01&type=KEPLER_CANDIDATE;;;0.321;3.6;;1201;2.5728;2.422082;0.035;;84.8;
Kepler-119c;http://kepler.nasa.gov/Mission/discoveries/kepler119c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00220.02&type=KEPLER_CANDIDATE;;;0.082;0.92;;1000;2.8392;4.125103;0.049;;86.52;
Kepler-120b;http://kepler.nasa.gov/Mission/discoveries/kepler120b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00222.01&type=KEPLER_CANDIDATE;;;0.192;2.15;;639;2.9088;6.312501;0.055;;86.52;
Kepler-120c;http://kepler.nasa.gov/Mission/discoveries/kepler120c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00222.02&type=KEPLER_CANDIDATE;;;0.136;1.53;;504;3.4488;12.794585;0.088;;88.24;
Kepler-121b;http://kepler.nasa.gov/Mission/discoveries/kepler121b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00223.01&type=KEPLER_CANDIDATE;;;0.209;2.34;;1025;1.476;3.177422;0.039;;85.94;
Kepler-121c;http://kepler.nasa.gov/Mission/discoveries/kepler121c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00223.02&type=KEPLER_CANDIDATE;;;0.203;2.27;;436;3.9768;41.008011;0.216;;89.38;
Kepler-122b;http://kepler.nasa.gov/Mission/discoveries/kepler122b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00232.02&type=KEPLER_CANDIDATE;;;0.209;2.34;;1048;3.8448;5.766193;0.064;;87.66;
Kepler-122c;http://kepler.nasa.gov/Mission/discoveries/kepler122c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00232.01&type=KEPLER_CANDIDATE;;;0.524;5.87;;807;5.064;12.465988;0.108;;88.24;
Kepler-122d;http://kepler.nasa.gov/Mission/discoveries/kepler122d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00232.03&type=KEPLER_CANDIDATE;;;0.196;2.2;;674;4.6824;21.587475;0.155;;88.24;
Kepler-122e;http://kepler.nasa.gov/Mission/discoveries/kepler122e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00232.04&type=KEPLER_CANDIDATE;;;0.232;2.6;;558;7.1544;37.993273;0.227;;89.38;
Kepler-123b;http://kepler.nasa.gov/Mission/discoveries/kepler123b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00238.01&type=KEPLER_CANDIDATE;;;0.262;2.94;;770;4.5648;17.232366;0.135;;88.24;
Kepler-123c;http://kepler.nasa.gov/Mission/discoveries/kepler123c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00238.02&type=KEPLER_CANDIDATE;;;0.132;1.48;;666;4.5288;26.695074;0.181;;88.24;
Kepler-124b;http://kepler.nasa.gov/Mission/discoveries/kepler124b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00241.03&type=KEPLER_CANDIDATE;;;0.065;0.73;;979;2.388;3.410493;0.039;;85.37;
Kepler-124c;http://kepler.nasa.gov/Mission/discoveries/kepler124c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00241.01&type=KEPLER_CANDIDATE;;;0.156;1.75;;616;3.552;13.821375;0.1;;88.24;
Kepler-124d;http://kepler.nasa.gov/Mission/discoveries/kepler124d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00241.02&type=KEPLER_CANDIDATE;;;0.099;1.11;;470;4.1952;30.950851;0.17;;88.81;
Kepler-125b;http://kepler.nasa.gov/Mission/discoveries/kepler125b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00251.01&type=KEPLER_CANDIDATE;;;0.211;2.37;;625;1.7976;4.164389;0.041;;87.09;
Kepler-125c;http://kepler.nasa.gov/Mission/discoveries/kepler125c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00251.02&type=KEPLER_CANDIDATE;;;0.066;0.74;;560;1.8768;5.774464;0.051;;87.66;
Kepler-126b;http://kepler.nasa.gov/Mission/discoveries/kepler126b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00260.01&type=KEPLER_CANDIDATE;;;0.136;1.52;;980;4.8144;10.495711;0.099;;84.22;
Kepler-126c;http://kepler.nasa.gov/Mission/discoveries/kepler126c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00260.03&type=KEPLER_CANDIDATE;;;0.141;1.58;;765;5.4792;21.869741;0.162;;85.94;
Kepler-126d;http://kepler.nasa.gov/Mission/discoveries/kepler126d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00260.02&type=KEPLER_CANDIDATE;;;0.223;2.5;;461;10.8408;100.283134;0.448;;88.81;
Kepler-127b;http://kepler.nasa.gov/Mission/discoveries/kepler127b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00271.03&type=KEPLER_CANDIDATE;;;0.125;1.4;;865;3.4344;14.435889;0.125;;87.09;
Kepler-127c;http://kepler.nasa.gov/Mission/discoveries/kepler127c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00271.02&type=KEPLER_CANDIDATE;;;0.237;2.66;;683;7.104;29.393195;0.2;;88.81;
Kepler-127d;http://kepler.nasa.gov/Mission/discoveries/kepler127d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00271.01&type=KEPLER_CANDIDATE;;;0.236;2.64;;578;7.0176;48.630408;0.28;;88.81;
Kepler-128b;http://kepler.nasa.gov/Mission/discoveries/kepler128b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00274.01&type=KEPLER_CANDIDATE;0.097;30.7;0.101;1.13;;940;4.1385;15.09;0.127;;88.81;
Kepler-128c;http://kepler.nasa.gov/Mission/discoveries/kepler128c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00274.02&type=KEPLER_CANDIDATE;0.105;33.3;0.101;1.13;;820;5.0921;22.804;0.167;;89.38;
Kepler-129b;http://kepler.nasa.gov/Mission/discoveries/kepler129b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00275.01&type=KEPLER_CANDIDATE;;;0.211;2.37;;827;7.2768;15.79186;0.131;;89.95;
Kepler-129c;http://kepler.nasa.gov/Mission/discoveries/kepler129c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00275.02&type=KEPLER_CANDIDATE;;;0.227;2.55;;476;10.5696;82.20017;0.393;;89.38;
Kepler-130b;http://kepler.nasa.gov/Mission/discoveries/kepler130b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00282.02&type=KEPLER_CANDIDATE;;;0.091;1.02;;966;3.2472;8.457458;0.079;;88.24;
Kepler-130c;http://kepler.nasa.gov/Mission/discoveries/kepler130c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00282.01&type=KEPLER_CANDIDATE;;;0.259;2.9;;683;6.1008;27.50868;0.178;;89.34;
Kepler-130d;http://kepler.nasa.gov/Mission/discoveries/kepler130d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00282.03&type=KEPLER_CANDIDATE;;;0.146;1.64;;443;1.824;87.517905;0.377;;89.38;
Kepler-131b;http://kepler.nasa.gov/Mission/discoveries/kepler131b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00283.01&type=KEPLER_CANDIDATE;0.051;16.13;0.215;2.41;6;719;2.9258;16.092;0.126;;88.24;
Kepler-131c;http://kepler.nasa.gov/Mission/discoveries/kepler131c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00283.02&type=KEPLER_CANDIDATE;0.026;8.25;0.075;0.84;77.7;617;5.0204;25.5169;0.171;;89.38;
Kepler-132b;http://kepler.nasa.gov/Mission/discoveries/kepler132b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00284.03&type=KEPLER_CANDIDATE;;;0.108;1.21;;1033;3.264;6.178196;0.067;;84.22;
Kepler-132c;http://kepler.nasa.gov/Mission/discoveries/kepler132c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00284.02&type=KEPLER_CANDIDATE;;;0.114;1.28;;1025;3.3;6.414914;0.068;;84.8;
Kepler-132d;http://kepler.nasa.gov/Mission/discoveries/kepler132d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00284.01&type=KEPLER_CANDIDATE;;;0.138;1.55;;725;2.9112;18.010199;0.136;;87.09;
Kepler-133b;http://kepler.nasa.gov/Mission/discoveries/kepler133b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00291.02&type=KEPLER_CANDIDATE;;;0.157;1.76;;1011;2.0712;8.129976;0.083;;84.22;
Kepler-133c;http://kepler.nasa.gov/Mission/discoveries/kepler133c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00291.01&type=KEPLER_CANDIDATE;;;0.253;2.84;;644;7.764;31.517586;0.204;;88.24;
Kepler-134b;http://kepler.nasa.gov/Mission/discoveries/kepler134b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00295.01&type=KEPLER_CANDIDATE;;;0.178;2;;1088;2.9016;5.317429;0.06;;82.51;
Kepler-134c;http://kepler.nasa.gov/Mission/discoveries/kepler134c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00295.02&type=KEPLER_CANDIDATE;;;0.112;1.26;;878;2.0592;10.105785;0.092;;84.8;
Kepler-135b;http://kepler.nasa.gov/Mission/discoveries/kepler135b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00301.01&type=KEPLER_CANDIDATE;;;0.161;1.81;;1177;3.9528;6.00253;0.067;;87.09;
Kepler-135c;http://kepler.nasa.gov/Mission/discoveries/kepler135c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00301.02&type=KEPLER_CANDIDATE;;;0.103;1.16;;952;5.0472;11.448708;0.103;;88.24;
Kepler-136b;http://kepler.nasa.gov/Mission/discoveries/kepler136b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00312.01&type=KEPLER_CANDIDATE;;;0.183;2.05;;914;2.856;11.5789;0.106;;88.24;
Kepler-136c;http://kepler.nasa.gov/Mission/discoveries/kepler136c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00312.02&type=KEPLER_CANDIDATE;;;0.178;1.99;;817;3.5016;16.399235;0.133;;88.81;
Kepler-137b;http://kepler.nasa.gov/Mission/discoveries/kepler137b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00313.02&type=KEPLER_CANDIDATE;;;0.131;1.47;;778;3.216;8.436387;0.077;;88.81;
Kepler-137c;http://kepler.nasa.gov/Mission/discoveries/kepler137c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00313.01&type=KEPLER_CANDIDATE;;;0.168;1.88;;597;3.0048;18.735753;0.13;;88.81;
Kepler-138b;http://kepler.nasa.gov/Mission/discoveries/kepler138b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00314.03&type=KEPLER_CANDIDATE;;;0.054;0.61;;491;1.92;10.312364;0.077;;88.24;
Kepler-138c;http://kepler.nasa.gov/Mission/discoveries/kepler138c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00314.01&type=KEPLER_CANDIDATE;0.012;3.83;0.144;1.61;5;446;2.4289;13.78164;0.091;0.05;88.24;
